克拉斯沃特（三分熟） | 游击队----'Medium Rare' Crasswater | Guerrilla Warfare----95.9----526----526
“医生”罗曼诺夫 | 军刀----'The Doctor' Romanov | Sabre----40.89----1000----1000
第一中尉法洛 | 特警----1st Lieutenant Farlow | SWAT----34.0----677----677
2020 RMR 挑战组战队胶囊----2020 RMR Challengers----1.1----1923----0
2020 RMR 竞争组战队胶囊----2020 RMR Contenders----1.42----1923----0
AK-47 | 深海复仇 (久经沙场)----AK-47 | Aquamarine Revenge (Field-Tested)----233.0----771----771
AK-47 | 二西莫夫 (久经沙场)----AK-47 | Asiimov (Field-Tested)----188.8----1000----1000
AK-47 | 二西莫夫 (略有磨损)----AK-47 | Asiimov (Minimal Wear)----392.0----1000----1000
AK-47 | 巴洛克之紫 (略有磨损)----AK-47 | Baroque Purple (Minimal Wear)----44.54----767----767
AK-47 | 血腥运动 (崭新出厂)----AK-47 | Bloodsport (Factory New)----879.9----1000----1000
AK-47 | 血腥运动 (久经沙场)----AK-47 | Bloodsport (Field-Tested)----689.0----867----867
AK-47 | 血腥运动 (略有磨损)----AK-47 | Bloodsport (Minimal Wear)----738.0----1000----1000
AK-47 | 蓝色层压板 (崭新出厂)----AK-47 | Blue Laminate (Factory New)----78.78----1000----1000
AK-47 | 蓝色层压板 (久经沙场)----AK-47 | Blue Laminate (Field-Tested)----64.97----1000----1000
AK-47 | 蓝色层压板 (略有磨损)----AK-47 | Blue Laminate (Minimal Wear)----69.0----1000----1000
AK-47 | 卡特尔 (崭新出厂)----AK-47 | Cartel (Factory New)----151.78----723----723
AK-47 | 卡特尔 (久经沙场)----AK-47 | Cartel (Field-Tested)----62.22----1000----1000
AK-47 | 卡特尔 (略有磨损)----AK-47 | Cartel (Minimal Wear)----79.3----1000----1000
AK-47 | 表面淬火 (崭新出厂)----AK-47 | Case Hardened (Factory New)----2393.5----827----827
AK-47 | 表面淬火 (久经沙场)----AK-47 | Case Hardened (Field-Tested)----1492.99----1000----1000
AK-47 | 表面淬火 (略有磨损)----AK-47 | Case Hardened (Minimal Wear)----1710.0----1000----1000
AK-47 | 精英之作 (战痕累累)----AK-47 | Elite Build (Battle-Scarred)----5.47----1000----1000
AK-47 | 精英之作 (崭新出厂)----AK-47 | Elite Build (Factory New)----32.0----1000----1000
AK-47 | 精英之作 (久经沙场)----AK-47 | Elite Build (Field-Tested)----7.82----1000----1000
AK-47 | 精英之作 (略有磨损)----AK-47 | Elite Build (Minimal Wear)----12.3----1000----1000
AK-47 | 精英之作 (破损不堪)----AK-47 | Elite Build (Well-Worn)----5.74----1000----1000
AK-47 | 翡翠细条纹 (战痕累累)----AK-47 | Emerald Pinstripe (Battle-Scarred)----12.9----536----536
AK-47 | 翡翠细条纹 (崭新出厂)----AK-47 | Emerald Pinstripe (Factory New)----58.87----593----593
AK-47 | 翡翠细条纹 (久经沙场)----AK-47 | Emerald Pinstripe (Field-Tested)----17.0----1000----1000
AK-47 | 翡翠细条纹 (略有磨损)----AK-47 | Emerald Pinstripe (Minimal Wear)----29.39----967----967
AK-47 | 翡翠细条纹 (破损不堪)----AK-47 | Emerald Pinstripe (Well-Worn)----13.8----507----507
AK-47 | 火蛇 (久经沙场)----AK-47 | Fire Serpent (Field-Tested)----5434.92----530----530
AK-47 | 火蛇 (略有磨损)----AK-47 | Fire Serpent (Minimal Wear)----7944.5----556----556
AK-47 | 前线迷雾 (久经沙场)----AK-47 | Frontside Misty (Field-Tested)----75.0----1000----1000
AK-47 | 前线迷雾 (略有磨损)----AK-47 | Frontside Misty (Minimal Wear)----155.0----1000----1000
AK-47 | 燃料喷射器 (久经沙场)----AK-47 | Fuel Injector (Field-Tested)----1051.5----913----913
AK-47 | 燃料喷射器 (略有磨损)----AK-47 | Fuel Injector (Minimal Wear)----1435.0----790----790
AK-47 | 一发入魂 (战痕累累)----AK-47 | Head Shot (Battle-Scarred)----28.95----527----527
AK-47 | 一发入魂 (崭新出厂)----AK-47 | Head Shot (Factory New)----356.9----510----510
AK-47 | 一发入魂 (久经沙场)----AK-47 | Head Shot (Field-Tested)----57.0----1000----1000
AK-47 | 一发入魂 (略有磨损)----AK-47 | Head Shot (Minimal Wear)----118.49----1000----1000
AK-47 | 一发入魂 (破损不堪)----AK-47 | Head Shot (Well-Worn)----38.87----618----618
AK-47 | 可燃冰 (战痕累累)----AK-47 | Ice Coaled (Battle-Scarred)----26.9----553----553
AK-47 | 可燃冰 (崭新出厂)----AK-47 | Ice Coaled (Factory New)----102.0----1000----1000
AK-47 | 可燃冰 (久经沙场)----AK-47 | Ice Coaled (Field-Tested)----33.89----1000----1000
AK-47 | 可燃冰 (略有磨损)----AK-47 | Ice Coaled (Minimal Wear)----58.19----1000----1000
AK-47 | 丛林涂装 (久经沙场)----AK-47 | Jungle Spray (Field-Tested)----29.86----539----539
AK-47 | 抽象派 1337 (久经沙场)----AK-47 | Leet Museo (Field-Tested)----115.0----1000----1000
