“蓝莓” 铅弹 | 海军水面战中心海豹部队
克拉斯沃特（三分熟） | 游击队
“医生”罗曼诺夫 | 军刀
“两次”麦考伊 | 战术空中管制部队装甲兵
“两次”麦考伊 | 美国空军战术空中管制部队
CS:GO 10周年印花胶囊
第一中尉法洛 | 特警
2020 RMR 挑战组战队胶囊
2020 RMR 竞争组战队胶囊
2020 RMR 传奇组战队胶囊
2021社区印花胶囊
第三特种兵连 | 德国特种部队突击队
AK-47 | 深海复仇 (战痕累累)
AK-47 | 深海复仇 (崭新出厂)
AK-47 | 深海复仇 (久经沙场)
AK-47 | 深海复仇 (略有磨损)
AK-47 | 深海复仇 (破损不堪)
AK-47 | 二西莫夫 (战痕累累)
AK-47 | 二西莫夫 (崭新出厂)
AK-47 | 二西莫夫 (久经沙场)
AK-47 | 二西莫夫 (略有磨损)
AK-47 | 二西莫夫 (破损不堪)
AK-47 | 巴洛克之紫 (战痕累累)
AK-47 | 巴洛克之紫 (崭新出厂)
AK-47 | 巴洛克之紫 (久经沙场)
AK-47 | 巴洛克之紫 (略有磨损)
AK-47 | 巴洛克之紫 (破损不堪)
AK-47 | 黑色层压板 (战痕累累)
AK-47 | 黑色层压板 (崭新出厂)
AK-47 | 黑色层压板 (久经沙场)
AK-47 | 黑色层压板 (略有磨损)
AK-47 | 黑色层压板 (破损不堪)
AK-47 | 血腥运动 (崭新出厂)
AK-47 | 血腥运动 (久经沙场)
AK-47 | 血腥运动 (略有磨损)
AK-47 | 血腥运动 (破损不堪)
AK-47 | 蓝色层压板 (崭新出厂)
AK-47 | 蓝色层压板 (久经沙场)
AK-47 | 蓝色层压板 (略有磨损)
AK-47 | 蓝色层压板 (破损不堪)
AK-47 | 卡特尔 (战痕累累)
AK-47 | 卡特尔 (崭新出厂)
AK-47 | 卡特尔 (久经沙场)
AK-47 | 卡特尔 (略有磨损)
AK-47 | 卡特尔 (破损不堪)
AK-47 | 表面淬火 (战痕累累)
AK-47 | 表面淬火 (崭新出厂)
AK-47 | 表面淬火 (久经沙场)
AK-47 | 表面淬火 (略有磨损)
AK-47 | 表面淬火 (破损不堪)
AK-47 | 精英之作 (战痕累累)
AK-47 | 精英之作 (崭新出厂)
AK-47 | 精英之作 (久经沙场)
AK-47 | 精英之作 (略有磨损)
AK-47 | 精英之作 (破损不堪)
AK-47 | 翡翠细条纹 (战痕累累)
AK-47 | 翡翠细条纹 (崭新出厂)
AK-47 | 翡翠细条纹 (久经沙场)
AK-47 | 翡翠细条纹 (略有磨损)
AK-47 | 翡翠细条纹 (破损不堪)
AK-47 | 火蛇 (战痕累累)
AK-47 | 火蛇 (久经沙场)
AK-47 | 火蛇 (略有磨损)
AK-47 | 火蛇 (破损不堪)
AK-47 | 至高皮革 (战痕累累)
AK-47 | 至高皮革 (崭新出厂)
AK-47 | 至高皮革 (久经沙场)
AK-47 | 至高皮革 (略有磨损)
AK-47 | 至高皮革 (破损不堪)
AK-47 | 前线迷雾 (战痕累累)
AK-47 | 前线迷雾 (崭新出厂)
AK-47 | 前线迷雾 (久经沙场)
AK-47 | 前线迷雾 (略有磨损)
AK-47 | 前线迷雾 (破损不堪)
AK-47 | 燃料喷射器 (战痕累累)
AK-47 | 燃料喷射器 (崭新出厂)
AK-47 | 燃料喷射器 (久经沙场)
AK-47 | 燃料喷射器 (略有磨损)
AK-47 | 燃料喷射器 (破损不堪)
AK-47 | 绿色层压板 (崭新出厂)
AK-47 | 绿色层压板 (久经沙场)
AK-47 | 绿色层压板 (略有磨损)
AK-47 | 绿色层压板 (破损不堪)
AK-47 | 一发入魂 (战痕累累)
AK-47 | 一发入魂 (崭新出厂)
AK-47 | 一发入魂 (久经沙场)
AK-47 | 一发入魂 (略有磨损)
AK-47 | 一发入魂 (破损不堪)
AK-47 | 水栽竹 (战痕累累)
AK-47 | 水栽竹 (久经沙场)
AK-47 | 水栽竹 (破损不堪)
AK-47 | 可燃冰 (战痕累累)
AK-47 | 可燃冰 (崭新出厂)
AK-47 | 可燃冰 (久经沙场)
AK-47 | 可燃冰 (略有磨损)
AK-47 | 可燃冰 (破损不堪)
AK-47 | 美洲猛虎 (战痕累累)
AK-47 | 美洲猛虎 (崭新出厂)
AK-47 | 美洲猛虎 (久经沙场)
AK-47 | 美洲猛虎 (略有磨损)
AK-47 | 美洲猛虎 (破损不堪)
AK-47 | 酷炫涂鸦皮革 (战痕累累)
AK-47 | 酷炫涂鸦皮革 (崭新出厂)
AK-47 | 酷炫涂鸦皮革 (久经沙场)
AK-47 | 酷炫涂鸦皮革 (略有磨损)
AK-47 | 酷炫涂鸦皮革 (破损不堪)
AK-47 | 丛林涂装 (战痕累累)
AK-47 | 丛林涂装 (崭新出厂)
AK-47 | 丛林涂装 (久经沙场)
AK-47 | 丛林涂装 (略有磨损)
AK-47 | 丛林涂装 (破损不堪)
AK-47 | 抽象派 1337 (战痕累累)
AK-47 | 抽象派 1337 (崭新出厂)
AK-47 | 抽象派 1337 (久经沙场)
AK-47 | 抽象派 1337 (略有磨损)
AK-47 | 抽象派 1337 (破损不堪)
AK-47 | 阿努比斯军团 (战痕累累)
AK-47 | 阿努比斯军团 (崭新出厂)
AK-47 | 阿努比斯军团 (久经沙场)
AK-47 | 阿努比斯军团 (略有磨损)
AK-47 | 阿努比斯军团 (破损不堪)
AK-47 | 霓虹革命 (战痕累累)
AK-47 | 霓虹革命 (崭新出厂)
AK-47 | 霓虹革命 (久经沙场)
AK-47 | 霓虹革命 (略有磨损)
AK-47 | 霓虹革命 (破损不堪)
AK-47 | 霓虹骑士 (战痕累累)
AK-47 | 霓虹骑士 (崭新出厂)
AK-47 | 霓虹骑士 (久经沙场)
AK-47 | 霓虹骑士 (略有磨损)
AK-47 | 霓虹骑士 (破损不堪)
AK-47 | 夜愿 (战痕累累)
AK-47 | 夜愿 (崭新出厂)
AK-47 | 夜愿 (久经沙场)
AK-47 | 夜愿 (略有磨损)
